series_id,category,value,timestamp
M1,MICRO,2640,1990-01
M1,MICRO,2640,1990-02
M1,MICRO,2160,1990-03
M1,MICRO,4200,1990-04
M1,MICRO,3360,1990-05
M1,MICRO,2400,1990-06
M1,MICRO,3600,1990-07
M1,MICRO,1920,1990-08
M1,MICRO,4200,1990-09
M1,MICRO,4560,1990-10
M1,MICRO,480,1990-11
M1,MICRO,3720,1990-12
M1,MICRO,5640,1991-01
M1,MICRO,2880,1991-02
M1,MICRO,1800,1991-03
M1,MICRO,3120,1991-04
M1,MICRO,2400,1991-05
M1,MICRO,2520,1991-06
M1,MICRO,9000,1991-07
M1,MICRO,2640,1991-08
M1,MICRO,3120,1991-09
M1,MICRO,2880,1991-10
M1,MICRO,8760,1991-11
M1,MICRO,5160,1991-12
M1,MICRO,2160,1992-01
M1,MICRO,8280,1992-02
M1,MICRO,4920,1992-03
M1,MICRO,3120,1992-04
M1,MICRO,6600,1992-05
M1,MICRO,4080,1992-06
M1,MICRO,5880,1992-07
M1,MICRO,1680,1992-08
M1,MICRO,6720,1992-09
M1,MICRO,2040,1992-10
M1,MICRO,6480,1992-11
M1,MICRO,1920,1992-12
M1,MICRO,3600,1993-01
M1,MICRO,2040,1993-02
M1,MICRO,2760,1993-03
M1,MICRO,3840,1993-04
M1,MICRO,960,1993-05
M1,MICRO,2280,1993-06
M1,MICRO,1320,1993-07
M1,MICRO,2160,1993-08
M1,MICRO,4800,1993-09
M1,MICRO,3000,1993-10
M1,MICRO,3120,1993-11
M1,MICRO,5880,1993-12
M1,MICRO,2640,1994-01
M1,MICRO,2400,1994-02
M1,MICRO,2280,1994-03
M1,MICRO,480,1994-04
M1,MICRO,5040,1994-05
M1,MICRO,1920,1994-06
M1,MICRO,840,1994-07
M1,MICRO,2520,1994-08
M1,MICRO,1560,1994-09
M1,MICRO,1440,1994-10
M1,MICRO,240,1994-11
M1,MICRO,1800,1994-12
M1,MICRO,4680,1995-01
M1,MICRO,1800,1995-02
M1,MICRO,1680,1995-03
M1,MICRO,3720,1995-04
M1,MICRO,2160,1995-05
M1,MICRO,480,1995-06
M1,MICRO,2040,1995-07
M1,MICRO,1440,1995-08
